ID,Economy,Code,Region,Income group,WBL Report Year,WBL INDEX,MOBILITY,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman choose where to live in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,Can women work in jobs deemed dangerous in the same way as men?,Are women able to work in the same industries as men?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,"Can a woman be ""head of household"" or ""head of family"" in the same way as a man?",Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,Does the law prohibit discrimination in access to credit based on gender?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Are periods of absence from work due to childcare accounted for in pension benefits?
AFG1971,Afghanistan,AFG,South Asia,Low income,1971,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1972,Afghanistan,AFG,South Asia,Low income,1972,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1973,Afghanistan,AFG,South Asia,Low income,1973,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1974,Afghanistan,AFG,South Asia,Low income,1974,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1975,Afghanistan,AFG,South Asia,Low income,1975,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1976,Afghanistan,AFG,South Asia,Low income,1976,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1977,Afghanistan,AFG,South Asia,Low income,1977,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1978,Afghanistan,AFG,South Asia,Low income,1978,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1979,Afghanistan,AFG,South Asia,Low income,1979,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1980,Afghanistan,AFG,South Asia,Low income,1980,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
